1953,67.5
1954,7.16666666666667
1955,58.1666666666667
1956,40.5833333333333
1957,-21.6666666666667
1958,55
1959,-16.5
1960,9.83333333333333
1961,-19.75
1962,91.4166666666667
1963,-50.25
1964,61.5833333333333
1965,70.0833333333333
1966,-29.1666666666667
1967,98.25
1968,45.75
1969,17.9166666666667
1970,36.0833333333333
1971,-12
1972,44.1666666666667
1973,10.0833333333333
1974,59.1666666666667
1975,-34.5
1976,61.5
1977,-31.0833333333333
1978,44.3333333333333
1979,29.3333333333333
1980,-19.0833333333333
1981,65.75
1982,-51.5833333333333
1983,53.75
1984,-4.25
1985,-3.58333333333333
1986,65.3333333333333
1987,-43.3333333333333
1988,40.25
1989,37.75
1990,-9.25
1991,46.5833333333333
1992,-45.1666666666667
1993,47.8333333333333
1994,-18.1666666666667
1995,33.4166666666667
1996,16.6666666666667
1997,11.5833333333333
1998,4.58333333333333
1999,4.08333333333333
2000,63.4166666666667
2001,-10.5833333333333
2002,13.4166666666667
2003,31.6666666666667
2004,4.58333333333333
2005,28
2006,-12
2007,35.5
2008,-12.8333333333333
2009,63
2010,-34
2011,60.5
2012,18
2013,-6.91666666666667
2014,75.5833333333333
2015,-28.5833333333333
2016,-26.8333333333333
2017,67.75
2018,-14.3333333333333
2019,22.9166666666667
2020,-19.5833333333333
2021,54.4166666666667
